TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,ev_level,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey
1.0,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,
,,,,,,,101,1.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,3.613205605,1.86474029198871,,,,,,,,
,,,,,,,101,2.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,4.988446431,5.519663415994728,,,,,,,,
,,,,,,,101,3.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,3.470791822,2.866503166995244,,,,,,,,
,,,,,,,101,4.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,3.820572462,5.451760416006437,,,,,,,,
,,,,,,,101,5.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_26.jpeg,did not like,2.455989137,1.0026603329752106,,,,,,,,
,,,,,,,101,,1.0,Gamble,,,,,,,24.19,7.91,w,10.0,1.0657869580027182,,999.0,999
,,,,,,,101,,2.0,Gamble,,,,,,,10.84,6.58,l,6.0,1.1604218750144355,,999.0,999
,,,,,,,101,,3.0,Gamble,,,,,,,25.96,7.02,w,10.0,,999.0,999.0,999
,,,,,,,101,,4.0,Gamble,,,,,,,25.08,3.46,l,8.0,,999.0,999.0,999
,,,,,,,101,,5.0,Gamble,,,,,,,13.45,5.27,l,6.0,,999.0,999.0,999
,,,,,,,101,6.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_30.jpeg,did not like,3.79605092,1.607246750005288,,,,,,,,
